Estacion:       NUEVA ROSITA,  COAH
Operada por:    SMN EMAS
Longitud:       101.19'48"  Latitud: 27.55'12"  Altitud: 366

DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC   RAD-SOL
17/11/2015 22:50       257       273     13.70     28.80      26.1        10     963.6       0.0     136.0
17/11/2015 23:00       275       261     15.80     27.70      25.9        10     963.6       0.0     103.0
17/11/2015 23:10       283       272     11.90     24.50      25.5        11     963.7       0.0      72.0
17/11/2015 23:20       291       296     11.60     23.80      25.0        11     963.9       0.0      45.0
17/11/2015 23:30       287       276     11.00     20.90      24.1        12     964.0       0.0      24.0
17/11/2015 23:40       284       282      9.00     16.90      23.2        13     964.1       0.0      12.0
17/11/2015 23:50       288       285     10.30     18.40      22.4        14     964.2       0.0       3.0
18/11/2015 00:00       284       275      8.40     14.80      21.6        15     964.3       0.0      -1.0
18/11/2015 00:10       292       293      9.00     15.10      21.2        15     964.3       0.0      -1.0
18/11/2015 00:20       305       294      8.70     12.60      20.5        16     964.4       0.0      -1.0
18/11/2015 00:30       322       322      9.30     15.10      19.8        18     964.7       0.0      -1.0
18/11/2015 00:40       326       327      8.10     12.60      19.5        18     964.9       0.0      -1.0
18/11/2015 00:50       236       316      4.60      9.40      17.9        23     965.1       0.0      -1.0
18/11/2015 01:00        36        17      7.80     12.60      16.2        27     965.3       0.0      -1.0
18/11/2015 01:10       130        62      4.50      7.90      15.4        39     965.6       0.0      -1.0
18/11/2015 01:20       160       141      4.00      9.00      14.1        38     965.8       0.0      -1.0
18/11/2015 01:30       163       176      4.70      6.80      13.1        44     965.8       0.0      -1.0
18/11/2015 01:40       170       134      4.20      9.00      13.3        52     965.9       0.0      -1.0
18/11/2015 01:50        34        30     12.70     19.80      13.0        36     966.1       0.0      -1.0
18/11/2015 02:00        44        31      4.20     11.20      13.4        40     966.1       0.0      -1.0
18/11/2015 02:10       105         5      4.30      5.80      11.6        41     966.2       0.0      -1.0
18/11/2015 02:20       163        18      4.60      6.10      10.5        42     966.3       0.0      -1.0
18/11/2015 02:30       111        16      4.50      6.50       9.9        45     966.4       0.0      -1.0
18/11/2015 02:40       141       356      4.70      7.60       9.1        51     966.6       0.0      -1.0
18/11/2015 02:50        23         7      5.80     10.40       9.0        54     966.6       0.0      -1.0
18/11/2015 03:00       291       359     10.10     13.30       8.7        60     966.9       0.0      -1.0
18/11/2015 03:10       333       352      3.90      9.00       9.0        54     967.1       0.0      -1.0
18/11/2015 03:20        56        15      4.90      7.20       9.3        49     967.1       0.0      -1.0
18/11/2015 03:30        27        39      5.90      6.80       8.7        52     967.1       0.0      -1.0
18/11/2015 03:40        29        31      7.10      8.30       8.1        54     967.1       0.0      -1.0
18/11/2015 03:50        24        12      7.00      9.70       7.8        62     967.2       0.0      -1.0
18/11/2015 04:00        30        22      6.50      7.60       7.3        60     967.2       0.0      -1.0
